iter	Passed	Remaining
166	457	2279
167	458	2272
168	461	2267
169	462	2259
170	464	2252
171	466	2245
172	467	2236
173	470	2232
174	472	2226
175	475	2226
176	477	2221
177	479	2214
178	481	2207
179	482	2200
180	484	2194
181	487	2191
182	490	2188
183	492	2183
184	493	2174
185	495	2167
186	497	2161
187	499	2156
188	502	2154
189	504	2149
190	506	2144
191	508	2138
192	509	2131
193	511	2124
194	512	2117
195	514	2112
196	516	2106
197	518	2100
198	520	2096
199	522	2090
200	524	2084
201	526	2078
202	527	2072
203	529	2067
204	531	2062
205	534	2059
206	536	2055
207	538	2050
208	539	2043
209	541	2038
210	543	2032
211	545	2027
212	549	2029
213	551	2026
214	553	2020
215	555	2014
216	556	2008
217	558	2003
218	560	1998
219	562	1992
220	564	1988
221	567	1989
222	569	1985
223	571	1979
224	573	1974
225	575	1969
226	576	1964
227	579	1962
228	581	1959
229	583	1954
230	585	1948
231	587	1943
232	588	1938
233	590	1932
234	592	1929
235	594	1925
236	596	1920
237	598	1915
238	599	1909
239	601	1904
240	603	1900
241	605	1895
242	607	1891
243	609	1887
244	611	1883
245	613	1879
246	614	1874
247	616	1868
248	618	1864
249	620	1860
250	622	1856
251	624	1853
252	626	1849
253	627	1844
254	629	1838
255	631	1834
256	632	1829
257	635	1828
258	638	1827
259	640	1822
260	642	1817
261	643	1813
262	645	1807
263	647	1804
264	654	1815
265	656	1811
266	658	1806
267	659	1802
268	661	1797
269	664	1796
270	666	1792
271	668	1788
272	670	1784
273	671	1780
274	673	1776
275	675	1771
276	678	1770
277	680	1767
278	682	1762
279	684	1759
280	685	1755
281	687	1750
282	689	1746
283	690	1741
284	692	1737
285	694	1732
286	696	1730
287	698	1726
288	699	1721
289	701	1717
290	702	1712
291	704	1707
292	706	1703
293	708	1701
294	711	1699
295	713	1696
296	714	1691
297	716	1687
298	718	1683
299	719	1679
300	723	1679
301	724	1675
302	726	1670
303	728	1667
304	729	1662
305	731	1659
306	733	1654
307	734	1651
308	736	1647
309	740	1647
310	742	1645
311	744	1641
312	746	1638
313	748	1634
314	749	1630
315	753	1631
316	755	1628
317	758	1625
318	759	1621
319	761	1617
320	763	1614
321	764	1610
322	766	1606
323	768	1603
324	770	1599
325	771	1595
326	773	1591
327	774	1587
328	776	1584
329	778	1580
330	779	1575
331	781	1572
332	783	1568
333	785	1565
334	786	1561
335	788	1557
336	789	1553
337	791	1549
338	792	1545
339	794	1542
340	796	1539
341	798	1535
342	799	1532
343	801	1528
344	803	1525
345	805	1521
346	806	1518
347	808	1514
348	810	1511
349	812	1508
350	814	1505
351	815	1501
352	817	1498
353	819	1496
354	821	1492
355	823	1488
356	824	1485
357	826	1482
358	828	1479
359	830	1476
360	832	1473
361	834	1470
362	835	1466
363	837	1463
364	839	1460
365	840	1456
366	843	1454
367	844	1450
368	846	1447
369	848	1444
370	849	1440
371	851	1437
372	852	1433
373	854	1430
374	856	1427
375	858	1424
376	859	1421
377	861	1417
378	863	1414
379	864	1410
380	866	1407
381	867	1403
382	869	1400
383	871	1397
384	873	1394
385	874	1391
386	876	1387
387	877	1384
388	879	1381
389	881	1378
390	882	1374
391	884	1372
392	886	1369
393	888	1366
394	890	1363
395	891	1360
396	893	1356
397	895	1353
398	896	1350
399	898	1347
400	901	1346
401	902	1342
402	904	1340
403	906	1337
404	907	1333
405	909	1330
406	911	1327
407	912	1324
408	914	1321
409	916	1319
410	918	1316
411	920	1313
412	921	1309
413	923	1306
414	924	1303
415	926	1300
416	928	1297
417	930	1295
418	931	1292
419	933	1288
420	934	1285
421	936	1282
422	938	1279
423	939	1276
424	941	1273
425	943	1270
426	944	1267
427	946	1265
428	948	1262
429	949	1259
430	951	1256
431	953	1253
432	955	1250
433	957	1248
434	959	1246
435	961	1243
436	963	1240
437	964	1238
438	966	1235
439	968	1232
440	970	1229
441	971	1226
442	973	1224
443	975	1221
444	977	1219
445	979	1216
446	981	1214
447	983	1211
448	984	1208
449	986	1205
450	988	1202
451	990	1200
452	992	1198
453	993	1195
454	995	1192
455	996	1189
456	998	1186
457	1000	1183
458	1001	1180
459	1012	1188
460	1013	1185
461	1015	1182
462	1016	1179
463	1018	1176
464	1020	1173
465	1022	1171
466	1023	1168
467	1025	1165
468	1027	1162
469	1028	1160
470	1030	1157
471	1032	1154
472	1034	1152
473	1035	1149
474	1037	1146
475	1039	1144
476	1040	1141
477	1042	1138
478	1044	1135
479	1045	1132
480	1047	1130
481	1049	1128
482	1051	1125
483	1053	1122
484	1055	1120
485	1056	1117
486	1058	1115
487	1060	1112
488	1061	1109
489	1063	1107
490	1065	1105
491	1067	1102
492	1069	1099
493	1071	1097
494	1073	1095
495	1075	1092
496	1077	1090
497	1079	1087
498	1081	1086
499	1083	1083
500	1085	1081
501	1087	1078
502	1088	1075
503	1090	1073
504	1092	1070
505	1094	1068
506	1096	1065
507	1097	1063
508	1099	1060
509	1100	1057
510	1102	1054
511	1103	1052
512	1105	1049
513	1107	1046
514	1108	1044
515	1110	1041
516	1112	1038
517	1113	1036
518	1115	1033
519	1116	1030
520	1118	1028
521	1120	1025
522	1121	1023
523	1123	1020
524	1125	1018
525	1127	1015
526	1128	1013
527	1130	1010
528	1131	1007
529	1133	1005
530	1135	1002
531	1136	1000
532	1139	997
533	1140	995
534	1142	992
535	1144	990
536	1145	987
537	1147	985
538	1148	982
539	1150	980
540	1153	978
541	1155	976
542	1156	973
543	1158	971
544	1160	968
545	1161	966
546	1163	963
547	1164	960
548	1166	958
549	1168	955
550	1170	953
551	1171	950
552	1173	948
553	1175	945
554	1176	943
555	1178	940
556	1180	938
557	1181	936
558	1183	933
559	1185	931
560	1187	929
561	1189	927
562	1191	924
563	1193	922
564	1195	920
565	1197	918
566	1199	915
567	1200	913
568	1202	910
569	1203	908
570	1205	905
571	1206	902
572	1208	900
573	1209	897
574	1212	895
575	1213	893
576	1215	891
577	1217	888
578	1219	886
579	1220	884
580	1222	881
581	1224	879
582	1226	877
583	1228	875
584	1230	872
585	1231	870
586	1233	867
587	1235	865
588	1236	862
589	1238	860
590	1239	858
591	1243	856
592	1245	854
593	1246	852
594	1249	850
595	1250	847
596	1252	845
597	1254	843
598	1255	840
599	1257	838
600	1259	836
601	1260	833
602	1262	831
603	1264	828
604	1265	826
605	1266	823
606	1268	821
607	1270	818
608	1271	816
609	1273	814
610	1275	811
611	1276	809
612	1278	807
613	1280	804
614	1281	802
615	1283	799
616	1284	797
617	1286	795
618	1288	792
619	1289	790
620	1291	788
621	1293	785
622	1294	783
623	1296	781
624	1298	778
625	1299	776
626	1301	774
627	1303	771
628	1305	769
629	1306	767
630	1308	765
631	1309	762
632	1311	760
633	1312	757
634	1314	755
635	1316	753
636	1318	751
637	1319	748
638	1321	746
639	1322	744
640	1324	741
641	1325	739
642	1327	737
643	1329	734
644	1331	732
645	1333	730
646	1335	728
647	1337	726
648	1338	724
649	1341	722
650	1343	719
651	1344	717
652	1346	715
653	1348	713
654	1349	710
655	1351	708
656	1352	706
657	1354	703
658	1355	701
659	1357	699
660	1359	697
661	1360	694
662	1362	692
663	1364	690
664	1365	688
665	1367	685
666	1369	683
667	1371	681
668	1372	679
669	1374	676
670	1376	674
671	1377	672
672	1379	670
673	1381	667
674	1382	665
675	1384	663
676	1385	661
677	1387	658
678	1388	656
679	1390	654
680	1392	652
681	1393	649
682	1395	647
683	1396	645
684	1398	643
685	1399	640
686	1401	638
687	1403	636
688	1405	634
689	1406	631
690	1408	629
691	1409	627
692	1411	625
693	1413	623
694	1415	620
695	1416	618
696	1418	616
697	1419	614
698	1421	612
699	1422	609
700	1424	607
701	1426	605
702	1428	603
703	1429	601
704	1431	599
705	1433	596
706	1434	594
707	1436	592
708	1438	590
709	1439	588
710	1441	585
711	1443	583
712	1444	581
713	1446	579
714	1448	577
715	1449	575
716	1451	573
717	1453	570
718	1454	568
719	1456	566
720	1458	564
721	1460	562
722	1462	560
723	1463	558
724	1465	555
725	1467	553
726	1469	551
727	1470	549
728	1472	547
729	1474	545
730	1476	543
731	1478	541
732	1479	538
733	1481	536
734	1482	534
735	1484	532
736	1485	530
737	1487	528
738	1489	525
739	1490	523
740	1492	521
741	1494	519
742	1495	517
743	1497	515
744	1498	513
745	1500	510
746	1501	508
747	1503	506
748	1505	504
749	1507	502
750	1509	500
751	1510	498
752	1512	496
753	1514	493
754	1515	491
755	1517	489
756	1519	487
757	1521	485
758	1522	483
759	1524	481
760	1526	479
761	1527	477
762	1529	474
763	1530	472
764	1532	470
765	1534	468
766	1536	466
767	1537	464
768	1539	462
769	1541	460
770	1542	458
771	1544	456
772	1546	454
773	1548	452
774	1549	449
775	1551	447
776	1553	445
777	1555	443
778	1556	441
779	1558	439
780	1560	437
781	1561	435
782	1564	433
783	1566	431
784	1568	429
785	1569	427
786	1571	425
787	1573	423
788	1574	421
789	1576	419
790	1578	417
791	1580	415
792	1581	412
793	1583	410
794	1585	408
795	1587	406
796	1588	404
797	1590	402
798	1592	400
799	1594	398
800	1596	396
801	1597	394
802	1599	392
803	1600	390
804	1602	388
805	1603	386
806	1605	384
807	1607	381
808	1609	379
809	1610	377
810	1612	375
811	1613	373
812	1615	371
813	1617	369
814	1618	367
815	1620	365
816	1622	363
817	1623	361
818	1625	359
819	1627	357
820	1628	355
821	1630	353
822	1632	351
823	1633	348
824	1635	346
825	1637	344
826	1639	342
827	1640	340
828	1642	338
829	1644	336
830	1645	334
831	1647	332
832	1648	330
833	1650	328
834	1651	326
835	1653	324
836	1655	322
837	1657	320
838	1658	318
839	1660	316
840	1662	314
841	1663	312
842	1665	310
843	1667	308
844	1669	306
845	1670	304
846	1672	302
847	1674	300
848	1675	298
849	1677	295
850	1679	294
851	1680	291
852	1682	290
853	1684	287
854	1686	285
855	1688	283
856	1689	281
857	1691	279
858	1693	277
859	1694	275
860	1696	273
861	1698	271
862	1700	269
863	1702	267
864	1703	265
865	1705	263
866	1707	261
867	1708	259
868	1710	257
869	1712	255
870	1713	253
871	1715	251
872	1717	249
873	1719	247
874	1720	245
875	1722	243
876	1723	241
877	1725	239
878	1727	237
879	1729	235
880	1731	233
881	1732	231
882	1734	229
883	1736	227
884	1737	225
885	1739	223
886	1741	221
887	1743	219
888	1745	217
889	1746	215
890	1748	213
891	1750	211
892	1751	209
893	1753	207
894	1754	205
895	1756	203
896	1758	201
897	1759	199
898	1761	197
899	1763	195
900	1764	193
901	1766	191
902	1767	189
903	1769	187
904	1771	185
905	1773	184
906	1775	182
907	1777	180
908	1778	178
909	1780	176
910	1782	174
911	1783	172
912	1785	170
913	1787	168
914	1789	166
915	1790	164
916	1792	162
917	1794	160
918	1795	158
919	1797	156
920	1799	154
921	1801	152
922	1802	150
923	1804	148
924	1805	146
925	1807	144
926	1809	142
927	1810	140
928	1812	138
929	1813	136
930	1816	134
931	1817	132
932	1819	130
933	1820	128
934	1822	126
935	1823	124
936	1825	122
937	1827	120
938	1828	118
939	1830	116
940	1832	114
941	1834	112
942	1835	110
943	1837	108
944	1838	107
945	1840	105
946	1842	103
947	1844	101
948	1846	99
949	1847	97
950	1849	95
951	1850	93
952	1852	91
953	1853	89
954	1855	87
955	1857	85
956	1858	83
957	1860	81
958	1862	79
959	1863	77
960	1865	75
961	1867	73
962	1868	71
963	1870	69
964	1871	67
965	1873	65
966	1874	63
967	1876	62
968	1878	60
969	1879	58
970	1881	56
971	1883	54
972	1884	52
973	1886	50
974	1888	48
975	1889	46
976	1891	44
977	1893	42
978	1894	40
979	1896	38
980	1898	36
981	1899	34
982	1901	32
983	1903	30
984	1904	29
985	1906	27
986	1907	25
987	1909	23
988	1910	21
989	1912	19
990	1914	17
991	1915	15
992	1917	13
993	1919	11
994	1921	9
995	1922	7
996	1924	5
997	1926	3
998	1927	1
999	1929	0
